"_time","Activity_Type","host.name","user.name","winlog.event_data.IpAddress","winlog.event_data.Image","winlog.event_data.TargetFilename","winlog.event_data.ScriptBlockText"
"2025-11-16T06:15:28.153+0000","4a. Malicious Script Execution","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,"null
null","null
null","null
null","move C:\Users\Thanh\Desktop\data_important.txt 'C:\Program Files\'
move C:\Users\Thanh\Desktop\data_important.txt 'C:\Program Files\'"
"2025-11-16T06:15:59.254+0000","4a. Malicious Script Execution","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,"null
null","null
null","null
null","rm .\data_important.txt.encrypted .\data_important.txt.encrypted .\data_important.txt.encrypted .\decrypt.ps1
rm .\data_important.txt.encrypted .\data_important.txt.encrypted .\data_important.txt.encrypted .\decrypt.ps1"
"2025-11-16T06:16:08.573+0000","4a. Malicious Script Execution","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,"null
null","null
null","null
null","rm .\data_important.txt.encrypted
rm .\data_important.txt.encrypted"
"2025-11-16T06:16:13.439+0000","4a. Malicious Script Execution","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,"null
null","null
null","null
null","rm .\data_important.txt.recovered.txt
rm .\data_important.txt.recovered.txt"
"2025-11-16T06:16:17.224+0000","4a. Malicious Script Execution","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,"null
null","null
null","null
null","rm .\data_important.txt.recovered
rm .\data_important.txt.recovered"
"2025-11-16T06:16:39.647+0000","4a. Malicious Script Execution","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,"null
null","null
null","null
null","cat .\data_important.txt
cat .\data_important.txt"
"2025-11-16T06:17:27.943+0000",,"DESKTOP-00OJS0K
DESKTOP-00OJS0K",,"null
null","C:\Windows\System32\ClipESUConsumer.exe
C:\Windows\System32\ClipESUConsumer.exe","null
null","null
null"
"2025-11-16T06:17:27.968+0000","2b. System Process (Noise/Telemetry)","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,"null
null","C:\Windows\System32\DeviceCensus.exe
C:\Windows\System32\DeviceCensus.exe","null
null","null
null"
"2025-11-16T06:17:28.017+0000","2b. System Process (Noise/Telemetry)","DESKTOP-00OJS0K
DESKTOP-00OJS0K",,"null
null","C:\Windows\System32\clipesu.exe
C:\Windows\System32\clipesu.exe","null
null","null
null"
"2025-11-16T06:21:10.971+0000",,"DESKTOP-00OJS0K
DESKTOP-00OJS0K",,"null
null","C:\Windows\System32\ClipESUConsumer.exe
C:\Windows\System32\ClipESUConsumer.exe","null
null","null
null"
