history,count,description
ADdaCTctCctfr,1,"Data Payload Transferred (Confirmed)"
ADdachCtTCctr,1,"Data Payload Transferred (Confirmed)"
ADf,1,"Data Payload Transferred (Confirmed)"
ADfFaTRr,1,"Data Payload Transferred (Confirmed)"
ADfTawR,1,"Data Payload Transferred (Confirmed)"
AadDCcTt,1,"Data Payload Transferred (Confirmed)"
AadDTtCcCFf,1,"Data Payload Transferred (Confirmed)"
AfFaCr,1,
DAaSFRwrr,1,"Data Payload Transferred (Confirmed)"
DCad,1,"Data Payload Transferred (Confirmed)"
DaR,1,"Data Payload Transferred (Confirmed)"
DcCadAtT,1,"Data Payload Transferred (Confirmed)"
DdAahTCctCFfr,1,"Data Payload Transferred (Confirmed)"
DfFaRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR,1,"Data Payload Transferred (Confirmed)"
Dfa,2,"Data Payload Transferred (Confirmed)"
FaR,1,"Connection Reset (Aborted)"
S,3,
SACawR,1,"Connection Reset (Aborted)"
SADT,1,"Data Payload Transferred (Confirmed)"
SADdCatTcCtTr,1,"Data Payload Transferred (Confirmed)"
SADdCtTacf,1,"Data Payload Transferred (Confirmed)"
SADdcaTCtTCtr,1,"Data Payload Transferred (Confirmed)"
SADdfFaRr,1,"Data Payload Transferred (Confirmed)"
SAF,1,
SAadDCcTr,1,"Data Payload Transferred (Confirmed)"
SAdDFa,1,"Data Payload Transferred (Confirmed)"
SAdhRrFaRr,1,"Connection Reset (Aborted)"
SCDadA,1,"Data Payload Transferred (Confirmed)"
SCawRw,1,"Connection Reset (Aborted)"
SCfF,1,
SDa,1,"Data Payload Transferred (Confirmed)"
SDawR,1,"Data Payload Transferred (Confirmed)"
SFafR,1,"Connection Reset (Aborted)"
SaD,1,"Data Payload Transferred (Confirmed)"
Saf,1,
ShACDaGfFR,1,"Data Payload Transferred (Confirmed)"
ShACR,1,"Connection Reset (Aborted)"
ShACaGfF,3,
ShACaGfFDTR,1,"Data Payload Transferred (Confirmed)"
ShACaGfFDTRRr,1,"Data Payload Transferred (Confirmed)"
ShACaGfFR,4,"Connection Reset (Aborted)"
