"_time","src_ip","dest_ip","alert.signature"
"2025-12-05T16:08:00.000+0000","10.10.10.130
10.10.10.130","10.10.10.129
10.10.10.129","RECON TCP SYN scan (external->LAN)
RECON TCP SYN scan (external->LAN)"
"2025-12-05T16:08:00.000+0000","10.10.10.130
10.10.10.130","10.10.10.129
10.10.10.129","ET RECON Nmap TCP SYN scan (internal)
ET RECON Nmap TCP SYN scan (internal)"
"2025-12-05T16:04:36.000+0000","10.10.10.130
10.10.10.130","10.10.10.129
10.10.10.129","RECON TCP SYN scan (external->LAN)
RECON TCP SYN scan (external->LAN)"
"2025-12-05T16:04:36.000+0000","10.10.10.130
10.10.10.130","10.10.10.129
10.10.10.129","RECON TCP SYN scan (external->LAN)
RECON TCP SYN scan (external->LAN)"
"2025-12-05T16:04:22.000+0000","10.10.10.130
10.10.10.130","10.10.10.129
10.10.10.129","RECON TCP SYN scan (external->LAN)
RECON TCP SYN scan (external->LAN)"
"2025-12-05T16:03:53.000+0000","10.10.10.130
10.10.10.130","10.10.10.129
10.10.10.129","ET RECON Nmap TCP SYN scan (internal)
ET RECON Nmap TCP SYN scan (internal)"
"2025-12-05T16:03:53.000+0000","10.10.10.130
10.10.10.130","10.10.10.129
10.10.10.129","RECON TCP SYN scan (external->LAN)
RECON TCP SYN scan (external->LAN)"
"2025-12-05T16:02:56.000+0000","10.10.10.130
10.10.10.130","10.10.10.129
10.10.10.129","WINRM client detected - Microsoft WinRM Client UA
WINRM client detected - Microsoft WinRM Client UA"
"2025-12-05T16:02:54.000+0000","10.10.10.130
10.10.10.130","10.10.10.129
10.10.10.129","WINRM encrypted session (HTTP-SPNEGO multipart/encrypted)
WINRM encrypted session (HTTP-SPNEGO multipart/encrypted)"
"2025-12-05T16:02:46.000+0000","10.10.10.130
10.10.10.130","10.10.10.129
10.10.10.129","ET RECON Nmap TCP SYN scan (internal)
ET RECON Nmap TCP SYN scan (internal)"
"2025-12-05T16:02:46.000+0000","10.10.10.130
10.10.10.130","10.10.10.129
10.10.10.129","RECON TCP SYN scan (external->LAN)
RECON TCP SYN scan (external->LAN)"
"2025-12-05T16:01:38.000+0000","10.10.10.130
10.10.10.130","10.10.10.129
10.10.10.129","WINRM request to /wsman
WINRM request to /wsman"
"2025-12-05T16:01:30.000+0000","10.10.10.130
10.10.10.130","10.10.10.129
10.10.10.129","WINRM client detected - Microsoft WinRM Client UA
WINRM client detected - Microsoft WinRM Client UA"
